x_value,total_1,total_2
0,1000,1000
1,1002,1004
2,1002,999
3,1002,1005
4,1001,1004
5,997,1002
6,995,1007
7,995,1005
8,993,1004
9,992,1009
10,997,1012
11,996,1009
12,998,1007
13,999,1011
14,1004,1016
15,1002,1011
16,1008,1010
17,1008,1008
18,1015,1010
19,1012,1010
20,1014,1010
21,1013,1006
22,1011,1004
23,1015,1001
24,1009,1003
25,1009,1000
26,1004,1003
27,1007,1006
28,1010,1011
29,1010,1014
30,1018,1015
31,1015,1011
32,1016,1006
33,1021,1011
34,1026,1012
35,1030,1008
36,1038,1006
37,1037,1006
38,1039,1004
39,1044,1010
40,1043,1014
41,1043,1013
42,1050,1015
43,1054,1017
44,1049,1020
45,1043,1019
46,1041,1021
47,1036,1021
48,1030,1022
49,1029,1024
50,1036,1027
51,1032,1024
52,1036,1019
53,1030,1017
54,1034,1023
55,1033,1026
56,1031,1032
57,1030,1032
58,1026,1035
59,1025,1035
60,1023,1031
61,1024,1035
62,1028,1032
63,1025,1036
64,1023,1037
65,1019,1034
66,1023,1040
67,1029,1036
68,1035,1042
69,1032,1041
70,1028,1037
71,1036,1034
72,1039,1038
73,1041,1042
74,1045,1045
75,1044,1048
76,1044,1043
77,1039,1043
78,1033,1041
79,1030,1044
80,1035,1049
81,1041,1051
82,1045,1053
83,1046,1048
84,1049,1053
85,1056,1048
86,1060,1050
87,1066,1046
88,1070,1049
89,1071,1054
90,1076,1053
91,1081,1054
92,1082,1049
93,1079,1044
94,1079,1042
95,1079,1047
96,1082,1048
97,1089,1049
98,1090,1049
99,1093,1053
100,1090,1052
101,1088,1053
102,1084,1052
103,1080,1055
104,1087,1055
105,1093,1059
106,1092,1054
107,1093,1056
108,1096,1062
109,1097,1064
110,1095,1064
111,1099,1069
112,1093,1071
113,1101,1071
114,1106,1069
115,1108,1075
116,1114,1072
117,1118,1077
118,1113,1073
119,1112,1076
120,1109,1072
121,1107,1069
122,1110,1072
123,1111,1068
124,1107,1071
125,1111,1075
126,1116,1076
127,1113,1080
128,1114,1082
129,1116,1083
130,1115,1080
131,1118,1080
132,1117,1079
133,1111,1077
134,1108,1076
135,1107,1080
136,1113,1084
137,1120,1086
138,1126,1086
139,1127,1092
140,1130,1093
141,1131,1094
142,1128,1093
143,1131,1092
144,1134,1094
145,1130,1091
146,1131,1095
147,1128,1098
148,1125,1103
149,1123,1106
150,1127,1108
151,1132,1113
152,1140,1110
153,1136,1113
154,1141,1112
155,1140,1116
156,1138,1116
157,1137,1111
158,1139,1108
159,1147,1104
160,1143,1107
161,1143,1104
162,1138,1103
163,1140,1100
164,1140,1106
165,1135,1101
166,1131,1099
167,1128,1098
168,1130,1097
169,1127,1101
170,1125,1096
171,1128,1101
172,1133,1100
173,1137,1095
174,1140,1097
175,1134,1096
176,1137,1096
177,1137,1096
178,1144,1094
179,1141,1091
180,1143,1087
181,1151,1086
182,1149,1083
183,1151,1089
184,1151,1093
185,1149,1094
186,1147,1096
187,1148,1096
188,1153,1092
189,1151,1088
190,1150,1091
191,1151,1093
